	news_collected_time	news_title
5368	2014-12-06	In wake of Eric Garner case, should grand jury system be reformed? (+video)
5369	2014-12-06	US to leave bigger force in Afghanistan than planned in 2015
5370	2014-12-06	Can reforms change Mexico's corrupt police culture? (+video)
5371	2014-12-06	No. 1 Alabama polishes Playoff résumé with 42-13 SEC Championship win
5372	2014-12-06	More protests expected after funeral of Brooklyn man shot by police
5373	2014-12-06	Carbon monoxide in New Jersey kills 2, sickens 12
5374	2014-12-06	Polls close in Louisiana for runoff race between Landrieu and Cassidy
5375	2014-12-06	Slain Mexican student identified
5376	2014-12-06	Suspect in Killings of Pastor, Two Others Arrested
5377	2014-12-06	Yemen rescue failed as captors alerted to approaching US commandos: officials
5378	2014-12-06	Typhoon Hagupit sweeps across Philippines
5379	2014-12-06	Polls about to close in Louisiana for runoff race between Landrieu and Cassidy
5380	2014-12-06	Suspect in Fla. killing of wife, 2 others arrested
5381	2014-12-06	Remains of Student in Mexico Identified
5382	2014-12-06	Biden sees 'less than even' chance of nuclear deal with Iran
5383	2014-12-06	Bill Cosby sex charges rock entertainment industry (+video)
5384	2014-12-06	Mary Landrieu Loses To Bill Cassidy In Louisiana Senate Runoff Election
5385	2014-12-06	Obama Visits Hospital For Sore Throat: Diagnosed With Acid Reflux
5386	2014-12-06	Pakistan's army kills al Qaeda commander who grew up in US
5387	2014-12-06	More US troops than planned to stay in Afghanistan
5388	2014-12-06	Protests continue in Chicago after no indictment in Eric Garner chokehold death
5389	2014-12-06	One of 43 missing Mexican students identified among remains
5390	2014-12-06	Cassidy wins Senate runoff in Louisiana
5391	2014-12-06	South Waziristan raid: Security forces kill key al Qaeda leader
5392	2014-12-06	Typhoon Hagupit slams into Philippines region devastated by storm Haiyan in 2013
5393	2014-12-06	Protests slow in New York after funeral for slain black man
5394	2014-12-06	Florida authorities arrest suspect accused of triple homicide
5395	2014-12-06	GOP matches Truman-era high with 246 House seats
5396	2014-12-06	Mary Landrieu swept away by red tide as GOP picks up 9th seat
5397	2014-12-06	Relatives bid farewell to Akai Gurley in Brooklyn funeral
5398	2014-12-06	CM Punk joins UFC, will fight in 2015
5399	2014-12-06	Marchand, Rask Help Bruins Beat Coyotes, 5-2
5400	2014-12-06	US hostage Luke Somers killed in Yemen during rescue attempt
5401	2014-12-06	Landrieu loses reelection bid in Louisiana to Republican challenger Cassidy
5402	2014-12-06	Thousands evacuate as Typhoon Hagupit lashes Philippines Typhoon Hagupit ...
5403	2014-12-06	Carbon monoxide in New Jersey kills 2, sickens 12
5404	2014-12-06	Pro wrestler CM Punk joins UFC, will begin fighting in 2015
5405	2014-12-06	Obama, complaining of sore throat, diagnosed with acid reflux
5406	2014-12-06	Philippine typhoon weakens after landfall
5407	2014-12-06	Suspect arrested in Fla. triple slaying
5408	2014-12-06	More US troops than planned to stay in Afghanistan
5409	2014-12-06	Memories of Pearl Harbor, 73 years ago today
5410	2014-12-06	The game changed, and so did Alabama and Nick Saban
5411	2014-12-07	NYPD Officer Daniel Pantaleo faces wrongful arrest lawsuits
5412	2014-12-07	Hostage Rescues Called Worth Trying Despite Many Failures
5413	2014-12-07	Relief as Typhoon Hagupit spares Tacloban, passes north
5414	2014-12-07	Remains of at least 1 of 43 missing Mexico students identified
5415	2014-12-07	Ohio State earns Big Ten championship in stunning style
5416	2014-12-07	Ex-WWE champ, MMA rookie CM Punk signs with UFC
5417	2014-12-07	Climate change threatens vital NASA launch pads
5418	2014-12-07	President Obama Complaining of Sore Throat, Diagnosed of Acid Reflux
5419	2014-12-07	Typhoon Hagupit pummels Philippines, threatens flooding, landslides Typhoon ...
5420	2014-12-07	Carbon monoxide in New Jersey kills 2, sickens 12
5421	2014-12-07	Remains of One of 43 Missing Students in Mexico Identified
5422	2014-12-07	Iran charges Washington Post correspondent detained since July
5423	2014-12-07	Spacecraft to Study Icy Pluto Wakes Up Today; Good Morning New Horizons!
5424	2014-12-07	Sony investigator says cyber attack 'unparalleled' crime
5425	2014-12-07	Barack Obama condemns 'barbaric murder' of Luke Somers
5426	2014-12-07	President Barack Obama Visits Walter Reed Hospital For Sore Throat
5427	2014-12-07	Cleanup Begins in Parts of Philippines as Typhoon Hagupit Heads Northwest
5428	2014-12-07	A successful wake up call for NASA's Pluto-bound spacecraft
5429	2014-12-07	Protest of chokehold death turns violent in California
5430	2014-12-07	Problems at Pearl Harbor memorial alleged
5431	2014-12-07	Pakistan kills senior Al Qaeda leader wanted by FBI
5432	2014-12-07	Protest of chokehold death turns violent in California
5433	2014-12-07	Hagel: Afghanistan on right track
5434	2014-12-07	State buildings to fly flags at half-staff for Pearl Harbor
5435	2014-12-07	NASA building dunes to protect Orion launch pads from climate change
5436	2014-12-07	Mary Landrieu Is Defeated by Bill Cassidy in Louisiana Senate Runoff
5437	2014-12-07	Protest over chokehold decision turns violent
5438	2014-12-07	Pearl Harbor, 73 years later
5439	2014-12-07	New Yorkers protest in rain
5440	2014-12-07	North Korea praises hack attack against Sony Pictures
5441	2014-12-07	South African hostage killed during US raid was to have been released, aid group says
5442	2014-12-07	Typhoon Hagupit Rips Through Philippines; More Than One Million Flee 'Ruby'
5443	2014-12-07	NKorea Denies Sony Hack, Calls It 'Righteous Deed'
5444	2014-12-07	Suspected US Drone Strike Kills 4 in Pakistan
5445	2014-12-07	NASA's Orion marks successful test flight
5446	2014-12-07	Mexican students: Body identified as missing Alexander Mora
5447	2014-12-07	Protest Of Chokehold Death Turns Violent In Berkeley
5448	2014-12-07	1000 additional US troops to stay in Afghanistan: Hagel
5449	2014-12-07	5 killed in US drone strike in NW Pakistan
5450	2014-12-07	Bill Cosby Pal Hugh Hefner Speaks Out About Sexual Abuse Allegations « CBS Los Angeles
5451	2014-12-07	US on slain hostage Somers: 'Yemen has lost a friend today'
5452	2014-12-07	Typhoon Hagupit tears its way through cetcentral Philippines
5453	2014-12-07	Berkeley Protesters Smash Windows; 2 Officers Hurt
5454	2014-12-07	Pakistani officials: Key al Qaeda figure killed in suspected US drone strike
5455	2014-12-07	Person detained in UP not rapist cab driver, search on for accused: Cops
5456	2014-12-07	New Horizons probe rouses from hibernation for Pluto mission
5457	2014-12-07	Pearl Harbor attack lives on within local families: Members
5458	2014-12-07	Yemen raid: US 'unaware' hostage Pierre Korkie was with Luke Somers
5459	2014-12-07	US drone strike in Pakistan kills four, including al Qaeda suspect
5460	2014-12-07	Typhoon Hagupit tears its way through central Philippines
5461	2014-12-07	Uber taxi driver 'rapes woman in India'
5462	2014-12-07	Sturbridge vet quietly recalls hell breaking loose at Pearl Harbor
5463	2014-12-07	Louisiana Runoff Likely to Bolster Republicans' Senate Edge
5464	2014-12-07	Suspected US drone strike kills 4 in Pakistan
5465	2014-12-07	Typhoon Hagupit sweeps across Philippines
5466	2014-12-07	Berkeley protesters smash windows; 2 officers hurt
5467	2014-12-07	A rape in an Uber is more proof that staying out late just isn't safe for Delhi's ...
5468	2014-12-07	For 1 Cosby accuser, a day in court awaits
5469	2014-12-07	Obama whisked away to hospital, diagnosed with acid reflux
5470	2014-12-07	Masked protesters smash windows, injure 2 officers in Berkeley, California
5471	2014-12-07	A rape in an Uber is further proof that staying out late just isn't safe for Delhi's ...
5472	2014-12-07	Typhoon Hagupit Batters Eastern Philippines
5473	2014-12-07	North Korea claims cyber attack on Sony Pictures was 'righteous deed'
5474	2014-12-07	Merkel: Russia Obstructing Moldova, Georgia, Ukraine Association With EU
5475	2014-12-07	Obama goes to Walter Reed for tests to diagnose sore throat
5476	2014-12-07	Typhoon Hagupit howls through Philippines
5477	2014-12-07	Cops Injured as Berkeley Protests Over Eric Garner Death Turn Violent
5478	2014-12-07	Uber Driver Accused of Rape in India
5479	2014-12-07	Six Guantanamo detainees transferred to Uruguay as Obama works to close prison
5480	2014-12-07	North Korea denies hacking Sony but calls the breach a 'righteous deed'
5481	2014-12-07	Prince William to break new ground with US trip
5482	2014-12-07	What Luke Somers Was Doing in the Arab World
5483	2014-12-07	Police use tear gas on Berkeley protesters
5484	2014-12-07	Typhoon batters Philippines, sends thousands scrambling for shelter
5485	2014-12-07	Six Guantanamo prisoners sent to Uruguay as refugees
5486	2014-12-07	US Drone Strike Kills 4, Wounds 2 in Northern Pakistan
5487	2014-12-07	Delhi cab rape: Not 'safest ride in the world', Uber's image takes big hit
5488	2014-12-07	Mexico missing students: Breakthrough as experts 'identify' remains of at least one of the 43
5489	2014-12-07	Survivors to commemorate 73rd anniversary of Pearl Harbor attack
5490	2014-12-07	U.S. Saw Little to Lose in Rescue Attempt as Execution Neared
5491	2014-12-07	Mary and the Landrieus
5492	2014-12-07	President Obama's CT scan reveals soft tissue inflammation related to acid reflux
5493	2014-12-07	Uber cab rape case: Police carry out raids in UP, announce reward for info on ...
5494	2014-12-07	Pearl Harbor veteran thought to be Madison County's last living survivor, recalls Japanese attack
5495	2014-12-07	Typhoon Slams Philippines, Threatens Recovery From Haiyan; a Test for Aquino
5496	2014-12-07	GOP Adds Veteran Legislator Bill Cassidy to Senate Tally
5497	2014-12-07	Berkeley protesters smash windows; 2 officers hurt
5498	2014-12-07	Indian Police Arrest Uber Driver Accused of Rape
5499	2014-12-07	College Football Playoff 2014: Alabama and Oregon jump Florida State in our final First Four poll
5500	2014-12-07	Police officers injured, businesses vandalized as protests in Berkeley turn violent
5501	2014-12-07	Uber cab driver arrested after suspected rape
5502	2014-12-07	Why impact of Eric Garner case might be much bigger than Ferguson
5503	2014-12-07	College Football Playoff 2014: Alabama and Oregon jump Florida State in our final First Four poll
5504	2014-12-07	Six Guantanamo Prisoners Released Amid Tensions Over Security
5505	2014-12-07	Acid reflux causing Obama's sore throat
5506	2014-12-07	Protest Over Eric Garner Chokehold Death Turns Violent In California « CBS New York
5507	2014-12-07	3 dead, 900000 evacuate as typhoon slams Philippines
5508	2014-12-07	US drone strike kills 5 in Pakistan
5509	2014-12-07	India Uber taxi driver in Delhi rape allegation
5510	2014-12-07	Men make the USS Alabama 'come alive' with a reenactment of Pearl Harbor
5511	2014-12-07	Jason Rezaian, Washington Post reporter, charged by Iran
5512	2014-12-07	'Always Giving Us Hope': Friends, Family Remember Luke Somers
5513	2014-12-07	Eric Gardner Protests in Berkeley, Calif., Turn Violent Video
5514	2014-12-07	Pearl Harbor survivors reunite in Hawaii to mark 73rd anniversary of attack
5515	2014-12-07	Uber cab driver in India arrested after suspected rape
5516	2014-12-07	al-Qaeda militant who grew up in the U.S and plotted to bomb New York subway is 'killed in raid by Pakistani military'
5517	2014-12-07	Hostages killed during rescue attempt in Yemen 2:30
5518	2014-12-07	US Transfers 6 Guantanamo Prisoners to Uruguay
5519	2014-12-07	New York set for fifth day of protests over police violence after West Coast clashes
5520	2014-12-07	Typhoon Hagupit: Philippines' villagers shelter from storm
5521	2014-12-07	UPDATE 1-Uber cab driver in India arrested after suspected rape
5522	2014-12-07	Start of NYC, DC visit for Prince William, Kate
5523	2014-12-07	Ohio Deaths Renew Calls for Lookalike Guns Action
5524	2014-12-07	Cassidy says Senate victory is 'exclamation mark' on Americans' dissatisfaction with Obama
5525	2014-12-07	Uruguay accepts six Guantanamo prisoners for resettlement
5526	2014-12-07	Eric Garner protests at UC Berkeley turn violent
5527	2014-12-07	1st ID from remains in case of Mexico's missing 43
5528	2014-12-07	Six die as Ruby slices across PH
5529	2014-12-07	Uber cab driver in India arrested after suspected rape
5530	2014-12-07	Pearl Harbor memories: Springfield man who was there told of Japanese pilot 'thumbing his nose'
5531	2014-12-07	UPDATE 2-At least 13 killed in failed US bid to rescue hostages in Yemen
5532	2014-12-07	Eric Garner's Widow: He Was 'Murdered Unjustly'
5533	2014-12-07	Typhoon Hagupit hits Philippines year after Haiyan
5534	2014-12-07	Israel strikes near the Syrian capital: Syrian TV
5535	2014-12-07	South Delhi rape: cab driver arrested in Mathura
5536	2014-12-07	Obama tells BET audience despite grand jury verdicts 'things are better'
5537	2014-12-07	Eric Garner's Widow: 'I Feel Like He Was Murdered'
5538	2014-12-07	Six Guantánamo detainees moved to Uruguay
5539	2014-12-07	Berkeley: Protests result in six arrests, one officer injured
5540	2014-12-07	Mexican student identified among remains
5541	2014-12-07	Typhoon Hagupit Sweeps Across the Philippines Video
5542	2014-12-07	India Arrests Uber Taxi Driver after Rape Allegations
5543	2014-12-07	Mary Landrieu defeat widens party, racial divide in the South
5544	2014-12-07	Chokehold Death Protest Gets Violent in California
5545	2014-12-07	Israel strikes near the Syrian capital Syrian TV
5546	2014-12-07	Alabama, Oregon, Florida State, Ohio State make first College Football Playoff
5547	2014-12-07	Typhoon Hagupit rips through Philippines
5548	2014-12-07	Sen. Mary Landrieu loses runoff in Louisiana to Rep. Bill Cassidy
5549	2014-12-07	UPDATE 2-At least 13 killed in failed US bid to rescue hostages in Yemen
5550	2014-12-07	Protest against Garner's killing turns violent in California
5551	2014-12-07	A look at the release of 6 Guantanamo prisoners
5552	2014-12-07	Meet the College Football Playoff participants
5553	2014-12-07	Jersey City ceremony marks 73rd anniversary of bombing of Pearl Harbor
5554	2014-12-07	Hostages Luke Somers, Pierre Korkie die in failed rescue
5555	2014-12-07	UAE: Stabbing of US teacher a 'lone terrorist act'
5556	2014-12-07	George W. Bush: Jeb Would Beat Hillary Clinton In 2016
5557	2014-12-07	De Blasio details talk with son about dealing with cops
5558	2014-12-07	Israeli Jets Strike Two Areas Near Damascus, Sana Reports
5559	2014-12-07	Pearl Harbor Day tributes 2014
5560	2014-12-07	Dog May Have Tipped Off Luke Somers' Captors During Failed Rescue Bid
5561	2014-12-07	Residents concern over Reem Island mall security
5562	2014-12-07	See the Photos of Veterans Returning to Pearl Harbor, 73 Years Later
5563	2014-12-07	Complaining of sore throat, President Obama visits hospital, diagnosed with acid reflux
5564	2014-12-07	Six Guantanamo prisoners fly to Uruguay for resettlement
5565	2014-12-07	Ibolya Ryan's Ex: 'Monster' Was Lying in Wait at Abu Dhabi Mall
5566	2014-12-07	Uber taxi driver arrested in India after allegedly raping a woman
5567	2014-12-07	Landslides feared as typhoon lashes Philippines
5568	2014-12-07	Thirteen killed in failed US hostage rescue bid in Yemen
5569	2014-12-07	Six detainees transferred from Guantanamo Bay prison to Uruguay
5570	2014-12-07	De Blasio Says Giuliani 'Fundamentally Misunderstands the Reality' of Race
5571	2014-12-07	Last Of Senate's Deep South Democrats Defeated
5572	2014-12-07	Alabama, Oregon, Florida State and Ohio State are playoff bound
5573	2014-12-07	Women mull safety of app-based cabs
5574	2014-12-07	At least 3 dead, 890000 evacuated in Philippines due to Typhoon Hagupit
5575	2014-12-07	North Korea says its supporters may be behind Sony attack
5576	2014-12-07	Obama Suffering from Persistent Sore Throat, Taken to Hospital
5577	2014-12-07	US Protests Escalate Over Police Killings, Grand Jury Decisions
5578	2014-12-07	2 Clifton residents killed by carbon monoxide poisoning in Passaic music studio
5579	2014-12-07	U.S. sends 6 prisoners from Guantanamo Bay to Uruguay
5580	2014-12-07	Mexico confirms missing student identity
5581	2014-12-07	Alabama, Oregon, FSU, Ohio State are in playoff
5582	2014-12-07	Obama gets CT scan, fiber optic test for sore throat caused by acid reflux, officials say
5583	2014-12-07	Mexico Identifies Remains of 1 of 43 Missing Students
5584	2014-12-07	In Louisiana, GOP's Cassidy vows to oppose Obama
5585	2014-12-07	Typhoon Hagupit Strikes Philippines Photos
5586	2014-12-07	TCU snub shows weekly College Football Playoff rankings were a sham, whether Ohio State was deserving or not
5587	2014-12-07	Syria: Israeli jets bomb army facilities near Damascus airport - Diplomacy and Defense Israel News
5588	2014-12-07	Veterans mark the 73rd anniversary of Pearl Harbor in Honululu
5589	2014-12-07	Civilians, Al Qaeda members killed in failed Somers rescue in Yemen
5590	2014-12-07	Will GOP's control of the South play significant role in 2016 races?
5591	2014-12-07	TCU snub shows weekly College Football Playoff rankings were a sham, whether Ohio State was deserving or not
5592	2014-12-07	Bratton: NYPD investigation may take 3-4 months
5593	2014-12-07	Syria accuses Israel of bombing Damascus airport
5594	2014-12-07	With their numbers shrinking, Pearl Harbor survivors make final pilgrimages to Hawaii
5595	2014-12-07	US transfers six prisoners from Guantanamo Bay to Uruguay
5596	2014-12-07	US defends failed Yemen rescue operation
5597	2014-12-07	In Mexico, parents of missing students vow search will continue Slain Mexican ...
5598	2014-12-07	Bill Cassidy and Mary Landrieu address health care issue in election night speeches
5599	2014-12-07	Filipino Winnipeggers scramble to contact family after typhoon
5600	2014-12-07	Cab driver accused of raping woman in Delhi arrested in Mathura
5601	2014-12-07	Pearl Harbor veterans honored at WWII Memorial
5602	2014-12-07	Luke Somers: A story demanding to be told
5603	2014-12-07	In Mexico, parents of missing students vow search will continue Slain Mexican ...
5604	2014-12-07	Bill de Blasio Describes Talking to His Black Son Dante About Dealing With ...
5605	2014-12-07	Syria says Israeli strikes in Damascus serve disparate terrorists - Xinhua
5606	2014-12-07	Coast Guard Medevacs Woman From Carnival Cruise Ship
5607	2014-12-07	The Big 12 can only blame itself for the College Football Playoff snub
5608	2014-12-07	Syria Reports Renewed Israeli Airstrikes
5609	2014-12-07	Prince William, Kate Middleton arrive in New York
5610	2014-12-07	Guantanamo Transfer Leaves Harder Cases Remaining Amid Criticism
5611	2014-12-07	Pearl Harbor survivors gathered in Hawaii vow to reunite again
5612	2014-12-07	Will GOP's control of the South play significant role in 2016 races?
5613	2014-12-07	'Bama, FSU, OSU, Oregon star in powerful playoff
5614	2014-12-07	Mayor refuses to endorse grand jury decision on Eric Garner
5615	2014-12-07	Syria strikes are in line with Israeli policy - Diplomacy and Defense Israel News
5616	2014-12-07	'Torture report': House Intelligence chief warns report will spur attacks on Americans
5617	2014-12-07	Six men released from Guantanamo Bay arrive in Uruguay
5618	2014-12-07	Mexican authorities confirm human remains belong to missing Mexican student
5619	2014-12-07	By the Numbers: Half of the Senators Who Voted for Obamacare Will be Gone in 2015
5620	2014-12-07	Body of slain South African hostage heading home
5621	2014-12-07	DC event remembers attack on Pearl Harbor
5622	2014-12-07	Obama's Sore Throat A Result Of Acid Reflux
5623	2014-12-07	US 'did not know' second Yemen hostage was hours from release
5624	2014-12-07	DC event remembers attack on Pearl Harbor
5625	2014-12-07	Britain's Prince William and Kate arrive on first trip to NYC
5626	2014-12-07	DNA tests show students were incinerated at dump
5627	2014-12-07	Protesters plan more action Sunday after a night of mayhem
5628	2014-12-07	Six Men Detained at Guantánamo Sent to Uruguay
5629	2014-12-07	Impending CIA Interrogation Report Creates Fear of Violence
5630	2014-12-07	Kate Middleton and Prince William Arrive in New York City in Style
5631	2014-12-07	There's no need for Big 12 to overreact to Playoff snub
5632	2014-12-07	Israeli jets 'strike near Damascus' Syrian army
5633	2014-12-07	Typhoon Hagupit moves towards Manila; homes damaged, three killed in Tacloban
5634	2014-12-07	'Violence and Deaths': Release of Report on Post-9/11 CIA Interrogations Will ...
5635	2014-12-07	Survivors remember Pearl Harbor attack
5636	2014-12-07	Time for honest conversation on racism, says NYC Mayor de Blasio
5637	2014-12-07	Response to Typhoon in Philippines Shows Lessons Learned From a Year Ago
5638	2014-12-07	Mary Landrieu defeat widens party, racial divide in the South (+video)
5639	2014-12-07	Israel bombs Syria in attacks probably aimed at Hezbollah
5640	2014-12-07	House Intelligence chief: Report will spur attacks
5641	2014-12-07	Hostage, Nearly Free on Ransom, Killed During SEAL Raid
5642	2014-12-07	Pearl Harbor vet's final return
5643	2014-12-07	De Blasio Has Been Lucky — and Good — in His Handling of the Garner Aftermath
5644	2014-12-07	Prince William and his Wife Kate Arrive in New York – The Cubic Lane
5645	2014-12-07	Chlorine gas forces evacuation at 'furry' convention; detectives investigate
5646	2014-12-07	Seattle Seahawks' game plan was to stop Eagles' LeSean McCoy and make Mark Sanchez beat them
5647	2014-12-07	Raiders 24, 49ers 13
5648	2014-12-07	Bush and CIA Ex-Officials Rebut Torture Report
5649	2014-12-07	Lupica: A public trial for all NYPD cops is unfair
5650	2014-12-07	Chlorine gas sickens 19 at furries convention
5651	2014-12-07	Six Guantanamo Detainees Released to Uruguay
5652	2014-12-07	In Louisiana, GOP's Cassidy vows to oppose Obama
5653	2014-12-07	House Intelligence Chairman Rogers: Report will spur attacks
5654	2014-12-07	Minnesota Veteran Returns To Pearl Harbor On 73rd Anniversary « CBS Minnesota
5655	2014-12-07	Manila Offices, Markets Shut as Storm Risks Heavy Rain
5656	2014-12-07	Ohio State Takes Jump Into Playoff in Stride
5657	2014-12-07	Eagles lose 24-14, fail to measure up to Seahawks
5658	2014-12-07	Pearl Harbor survivors, Oak Harbor vet gather in Hawaii
5659	2014-12-07	Mexico says evidence proves missing students were incinerated
5660	2014-12-07	On Road in Rowdy Stadium, Seahawks Silence the Eagles' Fast-Paced Offense
5661	2014-12-07	Notes: Four teams chosen for 2014 playoffs
5662	2014-12-07	Prince William and Duchess Kate welcomed by hundreds in New York City
5663	2014-12-07	Prepared Philippines spared the worst of typhoon Hagupit
5664	2014-12-07	Six Guantanamo prisoners fly to Uruguay for resettlement
5665	2014-12-07	Mexico missing student 'identified' from remains
5666	2014-12-07	Seahawks have morphed back into their championship identity
5667	2014-12-07	Veterans honor 73rd anniversary of Pearl Harbor attack
5668	2014-12-07	'I Can't Breathe': Garner Decision Protests Hit Fifth Day
5669	2014-12-07	Rolling Stone, U.V.A., and Reporting on Rape
5670	2014-12-07	Philippine typhoon weakens to a storm; 3 dead
5671	2014-12-07	US sends 6 prisoners from Guantanamo to Uruguay
5672	2014-12-07	Myers: Seahawks defense gets best of Mark Sanchez and Eagles
5673	2014-12-08	Dire warning over pending released of CIA torture report
5674	2014-12-08	10 Things to Know for Monday
5675	2014-12-08	Typhoon Hagupit Weakens but the Risk of Flooding and Storm Surges Remains
5676	2014-12-08	Carlton: Big 12 exploring tiebreakers, expansion, more after CFP miss
5677	2014-12-08	Eagles plan to forget this one
5678	2014-12-08	Syria accuses Israeli jets of airstrikes near Damascus airport, Lebanon border
5679	2014-12-08	Indian Uber driver accused of rape previously arrested for assault
5680	2014-12-08	Pearl Harbor survivors gather 73 years later
5681	2014-12-08	UPDATE 1-Philippines may seek up to 600000 T rice imports after typhoon
5682	2014-12-08	Syria accuses Israel of bombing Damascus airport
5683	2014-12-08	Furries Q&A: Event draws many in animal costumes
5684	2014-12-08	Eric Garner Protests On West Coast Turn Unruly
5685	2014-12-08	3 dead in crash after vehicle strikes, kills bear
5686	2014-12-08	Uber shame: Delhi cab driver was in jail earlier on another rape charge, say police
5687	2014-12-08	13 killed in failed US hostage rescue bid in Yemen
5688	2014-12-08	Israel launches airstrikes near Damascus
5689	2014-12-08	Six former Guantanamo inmates arrive in Uruguay
5690	2014-12-08	Royal couple: Obama visit, child development tour
5691	2014-12-08	Trial begins for guard in NYC inmate's 2012 death
5692	2014-12-08	Delhi Uber Driver Accused of Rape Had Prior Rape Charges
5693	2014-12-08	California police fire gas after protesters hurl objects
5694	2014-12-08	Obama, GOP-led Congress prepare for veto showdowns
5695	2014-12-08	Prince William and Duchess Kate land in New York
5696	2014-12-08	Three dead, eight others injured after car hits bear
5697	2014-12-08	Playoff field is right, despite noise
5698	2014-12-08	Al-Qaeda shot second hostage who was to be FREED during failed rescue of Brit Luke Somers
5699	2014-12-08	#RenameHagupit: Greenpeace campaigns to name typhoon after big polluters
5700	2014-12-08	Syria Claims Israel Made Two Airstrikes Near Damascus
5701	2014-12-08	Furry convention disrupted after chlorine gas sickens 19 at hotel
5702	2014-12-08	Local Survivors Remember The Attack on Pearl Harbor
5703	2014-12-08	US sends 6 prisoners from Guantanamo to Uruguay
5704	2014-12-08	India Vows Justice After Uber Driver Accused of Rape
5705	2014-12-08	US says it was unaware of SAfrican hostage talks
5706	2014-12-08	Typhoon Hagupit: death toll rises in Philippines
5707	2014-12-08	Criminal Probe After Gas Evacuates 'Furries' Event
5708	2014-12-08	Pearl Harbor survivors mark 73rd anniversary in Spokane
5709	2014-12-08	Taxi driver for Uber suspected of rape due to appear in New Delhi court
5710	2014-12-08	Prince William and Kate: Royal couple has big plans in New York
5711	2014-12-08	Family of Luke Somers criticise botched raid
5712	2014-12-08	2nd Night of Berkeley Protest Turns Violent Again
5713	2014-12-08	Photos of Prince William and Kate's arrival in NYC; Pearl Harbor remembered (10 Things to Know for Monday)
5714	2014-12-08	Typhoon Hagupit kills 21 on Samar island-Philippine
5715	2014-12-08	Syria accuses Israel of carrying out airstrikes near Damascus airport after string of explosions are heard in capital
5716	2014-12-08	Chlorine powder sickens 19 at hotel holding 'furry' convention - wistv.com - Columbia, South Carolina
5717	2014-12-08	Florida Car Crash Kills Three, Injures Eight After Vehicle Hits Black Bear
5718	2014-12-08	Washington knocks off No. 13 San Diego State;
5719	2014-12-08	Ambassador says US didn't know about talks to free hostage killed during Yemen raid
5720	2014-12-08	At least 21 dead as typhoon batters Philippines
5721	2014-12-08	US sends 6 Guantanamo prisoners to Uruguay
5722	2014-12-08	'Intentional gas release at Chicago-area hotel hosting 'furries' convention sickens 19
5723	2014-12-08	Don't let Army jawans' sacrifices go waste, choose ballot over bullet, PM Modi ...
5724	2014-12-08	Rage and Sorrow Flow as Student in Mexico Is Declared Dead
5725	2014-12-08	Deaths mount as typhoon churns over Philippines
5726	2014-12-08	British Royal Couple Discuss Big Issues in US Visit
5727	2014-12-08	Three Killed After Car Hits Black Bear in Everglades
5728	2014-12-08	Eric Garner, Michael Brown Deaths Spark Protests in Berkeley, California
5729	2014-12-08	Luke Somers' stepmother says he could have been saved by negotiation
5730	2014-12-08	Philippine capital braces for storm, as Hagupit leaves 27 dead
5731	2014-12-08	Syria, Iran condemn Israeli airstrikes
5732	2014-12-08	Furry Convention Chlorine Gas Incident Sickens 19 Near Chicago
5733	2014-12-08	Delhi Region Bans Uber After Driver Is Accused of Rape
5734	2014-12-08	China sentences 8 to death for attacks in Xinjiang
5735	2014-12-08	Royal couple: Obama visit, child development tour
5736	2014-12-08	Modi takes political campaign to Kashmir separatist stronghold
5737	2014-12-08	Marilyn Monroe's love letter from ex-hubby fetches $78K at auction
5738	2014-12-08	Syria Says Israel Launches 2 Airstrikes Against It
5739	2014-12-08	Millions hunker down in Philippine capital ahead of deadly storm
5740	2014-12-08	Discredited Rolling Stone Story Hurts All in Sex-Assault Debate
5741	2014-12-08	Shrien Dewani trial: Hiring a hitman in South Africa
5742	2014-12-08	Big 12 Is Left With Its Nose Pressed Against Playoff Glass
5743	2014-12-08	Massive downtown LA fire closes freeway, 250 firefighters battling
5744	2014-12-08	Holder Unveils Revisions to Limits on Profiling by Federal Law Enforcement
5745	2014-12-08	Massive fire in downtown LA
5746	2014-12-08	Syria, Iran Condemn Israeli Airstrikes
5747	2014-12-08	Typhoon Hagupit leaves 21 dead as Manila braces for storm
5748	2014-12-08	US, NATO ceremonially end Afghan combat mission
5749	2014-12-08	Obama urges persistence in fighting US racism
5750	2014-12-08	Los Angeles Building Fire Closes Parts of 2 Freeways
5751	2014-12-08	DOJ to Announce New Limits on Racial Profiling
5752	2014-12-08	Russia demands Israeli explanation of air strikes in Syria - Diplomacy and Defense Israel News
5753	2014-12-08	3 dead, 8 injured after vehicle hits, kills bear
5754	2014-12-08	China sentences 8 to death for attacks in Xinjiang
5755	2014-12-08	Uber banned from operating in Indian capital after driver rape
5756	2014-12-08	US unveils federal law enforcement profiling ban
5757	2014-12-08	3 dead, 8 injured after vehicle hits, kills bear
5758	2014-12-08	China sentences eight to death for knife, bomb attacks in restive Xinjiang
5759	2014-12-08	Judge rules on Dewani honeymoon trial live
5760	2014-12-08	Official: US Unaware of Negotiations to Free S. African Hostage
5761	2014-12-08	Shrien Dewani Acquitted in Honeymoon Murder of Wife Anni
5762	2014-12-08	Furries Q&A: Event draws many in animal costumes - HDR
5763	2014-12-08	3 dead, 8 injured after vehicle hits, kills bear
5764	2014-12-08	Uber banned in Delhi after rape by driver
5765	2014-12-08	Special gets 'Eaten Alive' by people on Twitter
